,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9214102093279471,0.993407534398682,0.9221784239573475,0.9214102093279471,0.9215897790418328,0.9050454594545089
Decision Tree,0.9056188027910393,0.9618879972233678,0.9059521460413152,0.9056188027910393,0.9056935120989833,0.8858247287992298
K-Nearest Neighbors,0.9136981270657363,0.9836677574090301,0.9143706530759725,0.9136981270657363,0.9138644968689181,0.8956400885344324
Naive Bayes (Gaussian),0.7638633859713552,0.9644421096213359,0.7653708847319572,0.7638633859713552,0.7614742997970327,0.7154063217966201
Random Forest (Ensemble),0.9203084832904884,0.9924388823274591,0.920480780848978,0.9203084832904884,0.920296477067385,0.9036047172846915
